id,date,time,country,nearest_places,hazard_type,landslide_type,trigger,storm_name,fatalities,injuries,source_name,source_link,location_description,location_accuracy,landslide_size,photos_link,cat_src,cat_id,countryname,near,distance,adminname1,adminname2,population,countrycode,continentcode,key,version,tstamp,changeset_id,latitude,longitude,geolocation
49,03/28/2007,,Canada,"Stanley Park, B.C.",landslide,Landslide,Rain,,,,Skyscraper,http://forum.skyscraperpage.com/showthread.php?t=128232,,Known_within_5_km,Medium,,glc,49,Canada,West End,1.48553,British Columbia,,44560,CA,NA,h9wc4CPB7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,49.296599999999998,-123.1357,"(49.296599999999998, -123.1357)"
50,03/28/2007,morning,United States,"Portland, OR",landslide,Landslide,Rain,,,,kgw.com,http://www.kgw.com/news-local/stories/kgw_033007_news_sunset_slide.16295132.html,Above_road,Known_within_1km,Small,,glc,50,United States,Lents,2.3782,Oregon,Multnomah County,20156,US,NA,h5lpshjQCM,2,Thu Jan 07 2016 20:53:16 GMT+0000 (UTC),231630043,45.511299999999999,-122.7069,"(45.511299999999999, -122.7069)"
51,04/01/2007,,Tajikistan,Jirgital,landslide,Landslide,Downpour,,1,,Red Cross - Field reports,http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2700,,Known_within_5_km,Medium,,glc,51,Tajikistan,Karakenja,29.069420000000001,,,2899,TJ,AS,hGHcMfdB7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,39.220999999999997,71.188000000000002,"(39.220999999999997, 71.188000000000002)"
52,04/01/2007,,Tajikistan,Jilondi,landslide,Landslide,Downpour,,,,,http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2700,,Known_within_5_km,Medium,,test,52,Tajikistan,Khandūd,73.47045,,obe,5521,TJ,AS,D9icxlkiFh,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,37.576000000000001,72.591999999999999,"(37.576000000000001, 72.591999999999999)"
53,04/02/2007,,China,"SW China, Pengshui",landslide,Landslide,Rain,,7,,Freshnews India,http://www.freshnews.in/china-landslide-kills-seven-1824,,Known_within_5_km,Medium,,glc,53,China,Hanjia,1.01466,Chongqing Shi,,0,CN,AS,h9CLZPcK4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,29.301400000000001,108.1536,"(29.301400000000001, 108.1536)"
54,04/05/2007,,Fiji,Udu Point,landslide,Landslide,Tropical_Cyclone,,,,AFP - abc.net.au,http://www.abc.net.au/news/stories/2007/04/05/1891095.htm,,Unknown,Medium,,glc,54,Fiji,Lambasa,18.909870000000002,Northern,,27949,FJ,OC,s9hUZPcQ4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,-16.583400000000001,179.4221,"(-16.583400000000001, 179.4221)"
55,04/05/2007,,Tajikistan,Ishkasim,landslide,Landslide,Downpour,,,,Red Cross - Field reports,http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2700,,Known_within_5_km,Medium,,glc,55,Tajikistan,Ishqoshim,0.31668,Gorno-Badakhshan,,26000,TJ,AS,s9oK6TgK4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,36.726999999999997,71.611000000000004,"(36.726999999999997, 71.611000000000004)"
56,04/06/2007,,United States,"Pittsburgh, PA - Greenfield, Beechwood Blvd.",landslide,Landslide,Rain,,,,The Pittsburgh Channel.com,https://web.archive.org/web/20080423132842/http://www.thepittsburghchannel.com/news/11846833/detail.html,Urban_area,Known_within_5_km,Small,,glc,56,United States,Wilkinsburg,2.91977,Pennsylvania,Allegheny County,15930,US,NA,s50MXxYcAI,2,Thu Jan 07 2016 21:58:13 GMT+0000 (UTC),2383125067,40.4377,-79.915999999999997,"(40.4377, -79.915999999999997)"
57,04/11/2007,,India,"Sikkim, 13 km north of Gangtok",landslide,Landslide,Downpour,,,,WebIndia123.com,http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410,,Known_within_5_km,Medium,,glc,57,India,Mangan,11.927490000000001,,,1464,IN,AS,DJuaDtBc4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,27.445900000000002,88.619299999999996,"(27.445900000000002, 88.619299999999996)"
58,04/13/2007,,Spain,Remolinos and Tauste exits,landslide,Landslide,Rain,,,,ThinkSpain.com,http://www.thinkspain.com/news-spain/12940,,Known_within_10_km,Medium,,glc,58,Spain,Boquiñeni,4.28556,Aragon,Saragossa,1026,ES,EU,sGuTmKdK4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,41.874099999999999,-1.2144,"(41.874099999999999, -1.2143999999999999)"
59,04/14/2007,,Canada,City of Chateauguay,landslide,Riverbank_Collapse,Rain,,,,Le Soleil,http://www.hebdos.net/lsc/edition162007/articles.asp?article_id=166976,Above_river,Known_within_5km,Small,,glc,59,Canada,Châteauguay,2.98682,Quebec,Montérégie,42786,CA,NA,sJ4m5yl1AN,2,Wed Jan 13 2016 16:01:36 GMT+0000 (UTC),156622681,45.322600000000001,-73.777100000000004,"(45.322600000000001, -73.777100000000004)"
